pid	variable	index	value
857612	temp_uc	0	0.38191777
857612	temp_uc	1	0.36579716
857612	temp_uc	2	0.36836997
857612	temp_uc	3	0.36867443
857612	temp_uc	4	0.36852258
857612	temp_uc	5	0.3688267
857612	temp_uc	263	0.3267804
858053	alt_uc	0	34.12685
858053	alt_uc	1	34.218822
858202	temp_uc	1	0.37201717
858254	temp_uc	0	0.41220596
858254	temp_uc	1	0.4160345
858254	temp_uc	2	0.36849168
858254	temp_uc	3	0.3673908
858254	temp_uc	4	0.36498877
858828	temp_uc	2	0.48984388
858828	temp_uc	3	0.37175018
858828	temp_uc	5	0.47580302
858828	temp_uc	6	0.4824044
858828	temp_uc	7	0.47772318
858828	temp_uc	8	0.45426193
859142	alt_uc	570	9.966262
859617	alt_uc	19	9.123985
859617	alt_uc	20	9.123362
859617	alt_uc	21	9.435677
859617	alt_uc	22	9.121492
859617	alt_uc	23	9.122114
859617	alt_uc	24	9.120869
859617	alt_uc	25	9.120245
859617	alt_uc	26	9.119622
859617	alt_uc	27	9.118997
859617	alt_uc	28	9.118374
859617	alt_uc	35	9.514034
859617	alt_uc	37	8.641273
859617	alt_uc	137	9.050298
859617	alt_uc	138	9.049672
859617	alt_uc	541	10.253892
859982	alt_uc	762	10.931105
859982	alt_uc	763	10.93255
859984	alt_uc	1	22.4661
859984	alt_uc	2	22.470655
859984	alt_uc	178	23.255783
859984	alt_uc	486	24.506802
859984	alt_uc	487	24.51051
859984	alt_uc	502	24.565886
859984	temp_uc	610	0.3812713
859984	temp_uc	611	0.38792405
859984	temp_uc	612	0.44122732
859984	temp_uc	613	0.44441503
859984	temp_uc	614	0.46385416
859984	temp_uc	615	0.4694993
859984	temp_uc	616	0.4982968
859984	temp_uc	617	0.38028264
859984	temp_uc	618	0.38050443
860247	alt_uc	81	18.0742
860937	temp_uc	0	0.96798545
860937	temp_uc	2	0.93587077
861193	temp_uc	426	0.6542843
861193	temp_uc	427	0.7800909
861193	temp_uc	428	0.838813
861193	temp_uc	429	0.8561026
861193	temp_uc	430	0.8600516
861193	temp_uc	431	0.86074215
861193	temp_uc	432	0.8607527
